id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,shape_ir2,shape_ir3,shape_reg,tot_baths,tot_sq_ft,sale_cod,sale_cwd,sale_con,sale_conld,sale_conli,sale_conlw,sale_new,sale_oth,sale_wd_,log_sqft,sqft_qual,neighborhood_blueste,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_greens,neighborhood_grnhill,neighborhood_idotrr,neighborhood_landmrk,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_npkvill,neighborhood_nwames,neighborhood_noridge,neighborhood_nridght,neighborhood_oldtown,neighborhood_swisu,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_timber,neighborhood_veenker
1044,527451290,160,RM,21.0,1680,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,unkwn,Detchd,1950,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,unkwn,unkwn,0,7,2008,COD,85400,0,0,1,2.0,1734.0,1,0,0,0,0,0,0,0,0,7.458186157340487,10404.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2752,906380150,20,RL,64.0,7488,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,unkwn,Attchd,1950,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,unkwn,unkwn,0,2,2006,WD ,183600,0,0,0,2.0,3048.0,0,0,0,0,0,0,0,0,1,8.022240916806537,21336.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,906226060,70,RL,120.0,26400,Pave,Bnk,FR2,Gtl,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,unkwn,unkwn,unkwn,unkwn,0.0,unkwn,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1950,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,unkwn,unkwn,0,6,2009,WD ,131000,0,0,1,1.0,2592.0,0,0,0,0,0,0,0,0,1,7.860185057472165,12960.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1177,533236070,160,FV,24.0,2645,Pave,Lvl,Inside,Gtl,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,unkwn,Detchd,1950,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,unkwn,unkwn,0,12,2008,ConLD,200000,0,0,1,4.0,3047.0,0,0,0,1,0,0,0,0,0,8.021912778985708,24376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1480,907418040,20,RL,74.0,9627,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,unkwn,Attchd,1950,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,unkwn,unkwn,0,6,2008,WD ,193000,0,0,1,2.0,3322.0,0,0,0,0,0,0,0,0,1,8.10832229017324,23254.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,923202105,20,RL,93.0,10114,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,unkwn,Attchd,1950,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,unkwn,unkwn,0,3,2010,WD ,173500,0,0,1,2.0,3484.0,0,0,0,0,0,0,0,0,1,8.155936337972394,17420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,902301140,70,RM,34.0,4571,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,unkwn,Detchd,1950,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,unkwn,unkwn,0,5,2008,COD,98000,0,0,1,1.0,2481.0,1,0,0,0,0,0,0,0,0,7.816416983691801,12405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
770,905101490,20,RL,80.0,8816,Pave,Lvl,Corner,Gtl,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,unkwn,Detchd,1950,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,MnPrv,unkwn,0,6,2009,WD ,139000,0,0,1,2.0,2722.0,0,0,0,0,0,0,0,0,1,7.909122183211411,13610.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2063,905107140,20,RL,71.0,8197,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1950,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,MnPrv,unkwn,0,4,2007,WD ,143500,0,0,1,2.0,2473.0,0,0,0,0,0,0,0,0,1,7.813187267521416,14838.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,528458070,60,FV,72.0,8640,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,unkwn,Attchd,1950,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,unkwn,unkwn,0,6,2010,Con,215200,0,0,1,3.0,2917.0,0,0,1,0,0,0,0,0,0,7.978310969867722,20419.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2062,905106150,20,RL,109.0,8724,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,1950,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,unkwn,unkwn,0,5,2007,WD ,129000,0,0,1,1.0,2238.0,0,0,0,0,0,0,0,0,1,7.71333788887187,11190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
351,527131030,120,RL,40.0,5664,Pave,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,1950,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,unkwn,unkwn,0,10,2009,WD ,278000,0,0,0,3.0,3659.0,0,0,0,0,0,0,0,0,1,8.204945165019208,29272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2393,528142010,60,RL,103.0,12867,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,unkwn,unkwn,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,1950,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,unkwn,unkwn,0,7,2006,New,344133,0,0,0,3.0,4037.0,0,0,0,0,0,0,1,0,0,8.30325712085294,32296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,527165230,20,RL,69.05520046484602,7980,Pave,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,unkwn,Attchd,1950,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,GdPrv,Shed,500,3,2010,WD ,185000,0,0,0,3.0,2775.0,0,0,0,0,0,0,0,0,1,7.928406026180535,16650.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2339,527250040,190,RL,100.0,34650,Pave,Bnk,Inside,Gtl,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,unkwn,Attchd,1950,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,unkwn,unkwn,0,1,2006,WD ,145000,0,0,1,2.0,2684.0,0,0,0,0,0,0,0,0,1,7.895063498091573,13420.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,535104120,20,RL,92.0,10573,Pave,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1950,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,GdPrv,unkwn,0,4,2009,WD ,187500,0,0,0,3.0,3436.0,0,0,0,0,0,0,0,0,1,8.142063283104147,20616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,532376160,20,RL,65.0,8450,Pave,Lvl,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1950,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,MnPrv,unkwn,0,4,2010,WD ,138500,0,0,1,2.0,2124.0,0,0,0,0,0,0,0,0,1,7.66105638236183,10620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1534,909277040,50,RL,69.05520046484602,11700,Pave,HLS,Inside,Mod,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1950,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,unkwn,unkwn,0,7,2008,WD ,198000,0,0,0,2.0,3120.0,0,0,0,0,0,0,0,0,1,8.045588280803528,15600.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2243,911103060,190,C (all),75.0,8250,Pave,Lvl,Inside,Gtl,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,unkwn,unkwn,1950,unkwn,0.0,0.0,unkwn,unkwn,N,0,0,133,0,0,0,unkwn,unkwn,0,6,2007,WD ,119600,0,0,1,2.0,2948.0,0,0,0,0,0,0,0,0,1,7.988882253309227,14740.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,535450190,50,RL,60.0,8064,Pave,Lvl,Corner,Gtl,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,1950,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,MnPrv,Shed,2000,7,2007,WD ,122900,0,0,1,1.0,2172.0,0,0,0,0,0,0,0,0,1,7.683403681053826,10860.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380,527355150,20,RL,80.0,9600,Pave,Lvl,Inside,Gtl,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1950,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,MnPrv,unkwn,0,7,2009,WD ,278000,0,0,1,4.0,5590.0,0,0,0,0,0,0,0,0,1,8.628734566149145,44720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2860,909276010,70,RL,69.05520046484602,11435,Pave,HLS,Corner,Mod,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1950,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,unkwn,unkwn,0,6,2006,WD ,230000,0,0,0,1.0,2709.0,0,0,0,0,0,0,0,0,1,7.904334842085095,21672.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2517,533250130,120,RL,30.0,9549,Pave,Lvl,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,1950,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,unkwn,unkwn,0,4,2006,WD ,270000,0,0,0,3.0,3469.0,0,0,0,0,0,0,0,0,1,8.15162164696975,27752.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
