,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,mo_sold,yr_sold,sale_type,saleprice
29,535450190,50,RL,60.0,8064,Pave,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,7,2007,WD ,122900
30,527355150,20,RL,80.0,9600,Pave,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,7,2009,WD ,278000
31,909276010,70,RL,,11435,Pave,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,6,2006,WD ,230000
32,533250130,120,RL,30.0,9549,Pave,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,4,2006,WD ,270000
33,535302070,20,RL,60.0,10950,Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,TA,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,TA,5,Typ,0,,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,4,2007,WD ,125000
34,906340110,20,RL,79.0,10637,Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,9,2009,WD ,297000
35,535426150,20,RL,80.0,9000,Pave,HLS,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,4,2009,WD ,113500
36,923225240,160,RM,41.0,2665,Pave,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,7,2006,WD ,127000
37,527358140,20,RL,105.0,11751,Pave,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,1,2010,COD,190000
38,534177210,20,RL,80.0,9600,Pave,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,9,2007,WD ,175500
39,907135050,20,RL,60.0,8428,Pave,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,TA,5,Typ,0,,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,0,7,2007,WD ,146000
40,908102260,20,RL,75.0,9937,Pave,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,TA,6,Typ,0,,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,0,6,2008,WD ,147500
41,528110050,20,RL,107.0,13891,Pave,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,,Ex,TA,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,0.0,690.0,2076.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,850.0,TA,TA,Y,216,229,0,0,0,0,9,2006,New,465000
42,923275040,85,RL,,9101,Pave,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,7,2009,WD ,165500
43,902406090,50,RM,81.0,12150,Pave,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,1050.0,GasA,Ex,N,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,TA,7,Typ,0,,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,0,11,2008,WD ,131500
44,905102170,20,RL,70.0,11200,Pave,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,TA,5,Typ,0,,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,2,2008,WD ,129500
45,909281110,70,RL,100.0,9670,Pave,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,608.0,GasA,TA,Y,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,6,2008,WD ,257076
46,909101140,50,RL,60.0,10998,Pave,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,TA,6,Min2,0,,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,0,7,2009,WD ,117000
47,909275050,70,RL,60.0,7200,Pave,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,TA,Y,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,112,0,0,0,2,2008,WD ,149000
48,534475100,20,RL,80.0,9920,Pave,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,290.0,412.0,1056.0,GasA,TA,Y,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,TA,6,Typ,0,,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,164,0,0,0,2,2010,WD ,128000
49,528188090,160,RL,36.0,2448,Pave,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,Ex,Y,SBrkr,764,862,0,1626,0.0,0.0,2,1,2,Gd,6,Typ,0,,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,0,0,0,0,10,2008,WD ,155000
50,533221080,160,FV,,2998,Pave,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,0.0,403.0,756.0,GasA,Ex,Y,SBrkr,768,756,0,1524,0.0,0.0,2,1,2,Gd,4,Typ,0,,Detchd,Unf,2.0,440.0,TA,TA,Y,0,32,0,0,0,0,6,2006,WD ,166000
51,909250220,50,RL,65.0,7804,Pave,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,0.0,500.0,1122.0,GasA,TA,Y,SBrkr,1328,653,0,1981,1.0,0.0,2,0,4,Gd,7,Min2,2,TA,Detchd,Unf,2.0,576.0,TA,TA,Y,431,44,0,0,0,0,12,2009,WD ,135000
52,527356020,60,RL,80.0,16692,Pave,Lvl,Inside,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,469.0,133.0,1392.0,GasA,TA,Y,SBrkr,1392,1392,0,2784,1.0,0.0,3,1,5,Gd,12,Typ,2,TA,Attchd,RFn,2.0,564.0,TA,TA,Y,0,112,0,0,440,519,7,2006,WD ,250000
53,923226250,160,RM,21.0,1476,Pave,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,176.0,Unf,0.0,370.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,1092,0.0,0.0,1,1,3,TA,5,Typ,0,,,,0.0,0.0,,,Y,200,26,0,0,0,0,3,2010,WD ,76000
54,535305120,20,RL,75.0,10170,Pave,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,216.0,216.0,GasA,TA,Y,SBrkr,1575,0,0,1575,0.0,0.0,1,1,2,Gd,5,Typ,1,Gd,Attchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,6,2006,WD ,155000
